Num,template_id,template_sql,param_types,column_range,string_dict,range_predicates
0,832ad5d0,"select TOP c1 p.objid,
           p.run,
           p.rerun,
           p.camcol,
           p.field,
           p.obj,
           p.type,
           p.ra,
           p.dec,
           p.u,
           p.g,
           p.r,
           p.i,
           p.z,
           p.Err_u,
           p.Err_g,
           p.Err_r,
           p.Err_i,
           p.Err_z
from fGetNearbyObjEq(c2, c3, c4) n,
     PhotoPrimary p
where n.objID=p.objID","{""c1"": ""int"", ""c2"": ""float"", ""c3"": ""float"", ""c4"": ""int""}","[0, 4]",{},[]
1,9ebf1c9b,"select ra,dec,psfMag_u,
              psfMag_g,
              psfMag_r,
              psfMag_i,
              psfMag_z,
              petroRc1_r,
              probPSF,
              psfMagErr_u,
              psfMagErr_g,
              psfMagErr_r,
              psfMagErr_i,
              psfMagErr_z,
              p.objid
from (PhotoTag p
      inner join fGetObjFromRectEq(c2, c3, c4, c5) r on p.objid=r.objid)","{""c1"": ""int"", ""c2"": ""float"", ""c3"": ""int"", ""c4"": ""int"", ""c5"": ""float""}","[4, 9]",{},[]
2,33a7fe87,"select r.run,
       r.rerun,
       r.camcol,
       r.field,
       f.fieldId,
       r.stripe,
       r.strip,
       r.ra,
       r.dec,
       r.raMin,
       r.raMax,
       r.decMin,
       r.decMax,
       r.mu,
       r.nu,
       r.incl,
       r.node,
       r.a,
       r.b,
       r.c,
       r.d,
       r.e,
       r.f,
       f.quality,
       f.a_u,
       f.b_u,
       f.c_u,
       f.d_u,
       f.e_u,
       f.f_u,
       f.a_g,
       f.b_g,
       f.c_g,
       f.d_g,
       f.e_g,
       f.f_g,
       f.a_r,
       f.b_r,
       f.c_r,
       f.d_r,
       f.e_r,
       f.f_r,
       f.a_i,
       f.b_i,
       f.c_i,
       f.d_i,
       f.e_i,
       f.f_i,
       f.a_z,
       f.b_z,
       f.c_z,
       f.d_z,
       f.e_z,
       f.f_z,
       dbo.fGetUrlFitsCFrame(f.fieldId, c1) as u_url,
       dbo.fGetUrlFitsCFrame(f.fieldId, c2) as g_url,
       dbo.fGetUrlFitsCFrame(f.fieldId, c3) as r_url,
       dbo.fGetUrlFitsCFrame(f.fieldId, c4) as i_url,
       dbo.fGetUrlFitsCFrame(f.fieldId, c5) as z_url
from dbo.fGetNearbyFrameEq(c6, c7, c8, c9) n,
     Frame r,
     Field f
where f.fieldId=r.fieldId
  and r.fieldId=n.fieldId
  and r.zoom=c10","{""c1"": ""string"", ""c2"": ""string"", ""c3"": ""string"", ""c4"": ""string"", ""c5"": ""string"", ""c6"": ""int"", ""c7"": ""int"", ""c8"": ""float"", ""c9"": ""int"", ""c10"": ""int""}","[9, 19]","{""'u'"": 1, ""'g'"": 2, ""'r'"": 3, ""'i'"": 4, ""'z'"": 5}",[]
3,0cb83fc1,"select top c1 c2 + cast(p.objId as varchar(c3)) + c4 + cast(p.objId as varchar(c5)) + c6 as objID,
           p.run,
           p.rerun,
           p.camcol,
           p.field,
           p.obj,
           p.type,
           p.ra,
           p.dec,
           p.u,
           p.g,
           p.r,
           p.i,
           p.z,
           p.Err_u,
           p.Err_g,
           p.Err_r,
           p.Err_i,
           p.Err_z
from fGetNearbyObjEq(c7, c8, c9) n,
     PhotoPrimary p
where n.objID=p.objID","{""c1"": ""int"", ""c2"": ""string"", ""c3"": ""int"", ""c4"": ""string"", ""c5"": ""int"", ""c6"": ""string"", ""c7"": ""int"", ""c8"": ""float"", ""c9"": ""float""}","[19, 28]","{""'<a target=INFO href=http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id='"": 1, ""'>'"": 2, ""'</a>'"": 3}",[]
4,b470c3d0,"select name,
       type
from DBObjects
where type=c1
  and access=c2
  and name not in (c3,
                   c4)
order by name","{""c1"": ""string"", ""c2"": ""string"", ""c3"": ""string"", ""c4"": ""string""}","[28, 32]","{""'U'"": 1, ""'LoadEvents'"": 2, ""'QueryResults'"": 3}","[30, 31]"
5,43b5caf2,"select c1 + cast(p.objId as varchar(c2)) + c3 + cast(p.objId as varchar(c4)) + c5 as objID,
       p.run,
       p.rerun,
       p.camcol,
       p.field,
       p.obj,
       p.type,
       p.ra,
       p.dec,
       p.u,
       p.g,
       p.r,
       p.i,
       p.z,
       p.Err_u,
       p.Err_g,
       p.Err_r,
       p.Err_i,
       p.Err_z
from fGetNearbyObjEq(c6, c7, c8) n,
     PhotoPrimary p
where n.objID=p.objID","{""c1"": ""string"", ""c2"": ""int"", ""c3"": ""string"", ""c4"": ""int"", ""c5"": ""string"", ""c6"": ""int"", ""c7"": ""float"", ""c8"": ""float""}","[32, 40]","{""'<a target=INFO href=../../../en/tools/explore/obj.aspx?id='"": 1, ""'>'"": 2, ""'</a>'"": 3}",[]
6,a465a306,"select top c1 p.objID,
           p.run,
           p.rerun,
           p.camcol,
           p.field,
           p.obj,
           p.type,
           p.ra,
           p.dec,
           p.u,
           p.g,
           p.r,
           p.i,
           p.z,
           p.Err_u,
           p.Err_g,
           p.Err_r,
           p.Err_i,
           p.Err_z
from fGetNearbyObjEq(c2, c3, c4) n,
     PhotoPrimary p
where n.objID=p.objID","{""c1"": ""int"", ""c2"": ""int"", ""c3"": ""float"", ""c4"": ""float""}","[40, 44]",{},[]
7,19afe0f3,"select top c1 c2 + cast(p.objId as varchar(c3)) + c4 + cast(p.objId as varchar(c5)) + c6 as objID,
           p.run,
           p.rerun,
           p.camcol,
           p.field,
           p.obj,
           p.type,
           p.ra,
           p.dec,
           p.u,
           p.g,
           p.r,
           p.i,
           p.z,
           p.Err_u,
           p.Err_g,
           p.Err_r,
           p.Err_i,
           p.Err_z
from fGetNearbyObjEq(c7, c8, c9) n
join PhotoPrimary p on n.objID=p.objID","{""c1"": ""int"", ""c2"": ""string"", ""c3"": ""int"", ""c4"": ""string"", ""c5"": ""int"", ""c6"": ""string"", ""c7"": ""int"", ""c8"": ""float"", ""c9"": ""float""}","[44, 53]","{""'<a target=INFO href=http://skyserver.sdss.org/dr9/en/tools/explore/obj.asp?id='"": 1, ""'>'"": 2, ""'</a>'"": 3}",[]
8,80cebd15,"select c1 + cast(p.apstar_id as varchar(c2)) + c3 + cast(p.apstar_id as varchar(c4)) + c5 as apstar_id,
       p.apogee_id,
       p.ra,
       p.dec,
       p.glon,
       p.glat,
       p.vhelio_avg,
       p.vscatter,
       a.teff,
       a.logg,
       a.metals
from apogeeStar p
join fGetNearbyApogeeStarEq(c6, c7, c8) n on p.apstar_id=n.apstar_id
join aspcapStar a on a.apstar_id = p.apstar_id","{""c1"": ""string"", ""c2"": ""int"", ""c3"": ""string"", ""c4"": ""int"", ""c5"": ""string"", ""c6"": ""int"", ""c7"": ""float"", ""c8"": ""float""}","[53, 61]","{""'<a target=INFO href=../../../en/tools/explore/summary.aspx?apid='"": 1, ""'>'"": 2, ""'</a>'"": 3}",[]
9,f4773be4,"select name,
       type
from DBObjects
where type=c1
  and name not in (c2,
                   c3)
order by name","{""c1"": ""string"", ""c2"": ""string"", ""c3"": ""string""}","[61, 64]","{""'V'"": 1, ""'LoadEvents'"": 2, ""'QueryResults'"": 3}","[62, 63]"
